distance_left,distance_right,direction,acceleration
141.0,65.0,-0.2463357,0.39170409999999994
142.0,65.0,-0.2463357,0.1285143
142.5,64.5,-0.2463357,0.0
139.0,71.0,-0.2463357,0.0
139.0,73.0,-0.2463357,0.0
140.0,68.0,-0.246875,0.0
139.0,70.0,-0.2480882,0.0
144.0,68.0,-0.2503431,0.0
138.0,72.0,-0.2534804,0.2003821
137.0,74.0,-0.2540195,0.12348640000000001
135.5,76.0,-0.2540195,0.0
136.0,70.0,-0.25540450000000003,0.0
134.0,71.0,-0.25540450000000003,0.06386375
133.0,72.0,-0.2556739,0.3344729
132.0,73.0,-0.255098,0.5684878000000001
134.0,76.0,-0.2525123,0.7927408
129.0,74.0,-0.2525123,0.5072007000000001
127.0,77.0,-0.2525123,0.26144989999999996
127.0,78.0,-0.2525123,0.07483792
125.0,85.0,-0.2517034,0.0
123.0,79.0,-0.24675239999999998,0.0
129.0,80.0,-0.2459437,0.0
123.0,81.0,-0.2459437,0.0
121.0,92.0,-0.2459437,0.0
115.0,90.0,-0.2361396,0.0
115.0,90.0,-0.2262256,0.0
117.0,95.0,-0.204473,0.0
115.0,94.0,-0.20421570000000003,0.1897949
113.5,90.0,-0.20421570000000003,0.3346317
113.0,95.0,-0.20421570000000003,0.09643185
114.0,92.0,-0.20421570000000003,0.0
114.0,89.0,-0.20421570000000003,0.0
113.0,91.0,-0.20421570000000003,0.2183368
113.0,91.0,-0.20421570000000003,0.46125879999999997
113.0,90.0,-0.20421570000000003,0.6747569
107.0,93.0,-0.20421570000000003,0.4736849
111.0,91.0,-0.17881129999999998,0.18872379999999997
111.0,90.5,-0.17881129999999998,0.0
109.0,96.0,-0.1774387,0.0
108.0,95.0,-0.1718138,0.09080386
108.0,99.0,-0.15752460000000001,0.3345448
107.0,97.0,-0.11681369999999999,0.4003619
106.0,98.0,-0.11681369999999999,0.05081105
105.0,96.5,-0.11681369999999999,0.0
106.0,100.0,-0.11681369999999999,0.0
105.0,97.0,-0.11681369999999999,0.0
105.0,102.0,-0.11681369999999999,0.18340479999999998
105.0,100.0,-0.11681369999999999,0.426738
104.0,100.0,-0.09517158,0.20779499999999998
102.0,98.0,-0.09341916,0.0
104.0,103.0,-0.09341916,0.0
102.0,100.0,-0.09341916,0.06578099999999999
101.0,102.0,-0.09341916,0.3164338
101.0,100.0,-0.09341916,0.574257
101.0,101.0,-0.09341916,0.3167009
99.0,108.0,-0.09341916,0.05647802
101.0,109.0,-0.09341916,0.0
